ministry,unitCode,legacyReference,name,parentUnitCode,unitType,department,isVirtual
HOME,Rajampet Rural Circle,2016215,Rajampet Rural Circle,Renigunta SDPO,Circle,L&O,FALSE
HOME,Voyalpadu Circle,2014213,Voyalpadu Circle,Rajampet SDPO,Circle,L&O,FALSE
HOME,Kalakada Circle,2016226,Kalakada Circle,Rayachoty SDPO,Circle,L&O,FALSE
HOME,Lakkireddipalli Circle,2016211,Lakkireddipalli Circle,Rayachoty SDPO,Circle,L&O,FALSE
HOME,Rayachoty Rural Circle,2016213,Rayachoty Rural Circle,Rayachoty SDPO,Circle,L&O,FALSE
HOME,Bapatla Rural Circle,2019200,Bapatla Rural Circle,Rayachoty SDPO,Circle,L&O,FALSE
HOME,Martur Circle,2019221,Martur Circle,Bapatla SDPO,Circle,L&O,FALSE
HOME,Santhamagulur Circle,2019224,Santhamagulur Circle,Bapatla SDPO,Circle,L&O,FALSE
HOME,Addanki Rural Circle,2019222,Addanki Rural Circle,Darsi SDPO,Circle,L&O,FALSE
HOME,Chirala Rural Circle,2033221,Chirala Rural Circle,Darsi SDPO,Circle,L&O,FALSE
HOME,Inkollu Circle,2033201,Inkollu Circle,Chirala SDPO,Circle,L&O,FALSE
HOME,Repalle Rural Circle,2019202,Repalle Rural Circle,Chirala SDPO,Circle,L&O,FALSE
HOME,Tsunduru Circle,2019217,Tsunduru Circle,Repalle SDPO,Circle,L&O,FALSE
HOME,Vemuru Circle,2019225,Vemuru Circle,Repalle SDPO,Circle,L&O,FALSE
HOME,Kuppam Urban Circle,2014241,Kuppam Urban Circle,Repalle SDPO,Circle,L&O,FALSE
HOME,Palamaner Urban Circle,2014243,Palamaner Urban Circle,Kuppam SDPO,Circle,L&O,FALSE
HOME,Punganur Urban Circle,2014242,Punganur Urban Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,V.Kota Urban Circle,2014244,V.Kota Urban Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,Kuppam Rural Circle,2014209,Kuppam Rural Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,Palamaner Rural Cricle Circle,2014207,Palamaner Rural Cricle Circle,Kuppam SDPO,Circle,L&O,FALSE
HOME,Gangavaram Urban Circle,2014253,Gangavaram Urban Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,Punganur Rural Circle,2014208,Punganur Rural Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,CCS Chittoor Urban Circle,2014247,CCS Chittoor Urban Circle,Palamaner SDPO,Circle,L&O,FALSE
HOME,Chittoor Traffic Urban Circle,2014248,Chittoor Traffic Urban Circle,CCS Chittoor Urban SDPO,Circle,L&O,FALSE
